# opp_gamma, obs_gamma, live_gamma, liveness_thresh, goal_reach_idx0, goal_reach_idx1, traj_collision, obs_collision_0, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.5000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5091, 2.0787
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.4000, 0.3000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0154, 0.5087, 2.0257
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.5000, 0.4000, 0.9500, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0158, 0.6472, 1.0184
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.5000, 0.4000, 0.9500, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0158, 0.6472, 1.0184
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.5000, 0.4000, 0.9500, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0158, 0.6472, 1.0184
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.5000, 0.4000, 0.9500, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0158, 0.6472, 1.0184
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.5000, 0.4000, 0.9500, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0158, 0.6472, 1.0184
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.5000, 0.4000, 0.9500, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0158, 0.6472, 1.0184
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.5000, 0.4000, 0.9500, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0158, 0.6472, 1.0184
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.5000, 0.4000, 0.9500, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0158, 0.6472, 1.0184
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.5000, 0.4000, 0.9500, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0158, 0.6472, 1.0184
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.5000, 0.4000, 0.9500, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0158, 0.6472, 1.0184
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.5000, 0.4000, 0.9500, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0158, 0.6472, 1.0184
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.5000, 0.4000, 0.9500, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0158, 0.6472, 1.0184
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.5000, 0.4000, 0.9500, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0158, 0.6472, 1.0184
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.5000, 0.4000, 0.9500, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0158, 0.6472, 1.0184
0.2000, 0.2000, 0.1000, 0.5000, 71.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0101, 0.0099, 0.8399, 19.7486
0.6000, 0.5000, 0.4000, 0.9500, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0158, 0.6472, 1.0184
