# opp_gamma, obs_gamma, live_gamma, liveness_thresh, goal_reach_idx0, goal_reach_idx1, traj_collision, obs_collision_0, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
0.3000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0107, 3.7266, 46.2947
0.3000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0107, 3.7266, 46.2947
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.3000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0107, 3.7266, 46.2947
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.3000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0107, 3.7266, 46.2947
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.3000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0107, 3.7266, 46.2947
0.3000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0107, 3.7266, 46.2947
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.3000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0107, 3.7266, 46.2947
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
0.4000, 0.3000, 0.2000, 0.6500, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0087, 0.0108, 3.7156, 41.8787
